OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
51,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Sweeny,Texas,3,278.9,132.1,111,0,0,42.1,31.7,378.6,78.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.077881,-95.747538,1,-95.747538,29.077880999999977
52,257,HOLLYFRONTIER WOODS CROSS REFINING L,HOLLYFRONTIER CORP,Woods Cross,Utah,4,41.4,0,17.5,15,0,8.4,8.3,26.2,0,1.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.886581,-111.904823,1,-111.90482300000001,40.88658100000002
53,262,PLACID REFINING CO,PLACID OIL CO,Port Allen,Louisiana,3,82.5,27,25.5,0,0,11.5,7.5,57,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.477376,-91.210811,0,-91.210811,30.477376000000042
54,266,ERGON WEST VIRGINIA INC,ERGON INC,Newell,West Virginia,1,23,8.6,0,0,0,4.7,0,24.1,0,0.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.610826,-80.629399,0,-80.62939899999999,40.610826000000024
55,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,Bakersfield,California,5,25,14.3,0,0,5,0,0,5.4,0,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.38733,-119.047922,0,-119.047922,35.387329999999984
56,275,WRB REFINING LP,WRB REFINING LP,Wood River,Illinois,2,367.5,196.5,101,57.2,0,79.7,21.8,281.4,83.7,28,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.845944,-90.067283,1,-90.06728300000003,38.845944000000024
57,276,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Norco,Louisiana,3,250,91.3,118.8,44,0,40,18.1,189,28.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.001717,-90.40413,1,-90.40413000000001,30.001717000000024
58,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Anacortes,Washington,5,120,47,54.5,0,0,28.5,23.5,101,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.494369,-122.562522,1,-122.56252199999996,48.494369000000056
59,279,MARTINEZ REFINING CO LLC,PBF ENERGY CO LLC,Martinez,California,5,157,101,72,42.9,0,31,27.8,262.5,49.3,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.019952,-122.111017,1,-122.11101700000002,38.019952000000075
60,287,BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,Toledo,Ohio,2,160,72.5,55,31.8,0,42,11.5,117.5,36,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.680021000000004,-83.453963,1,-83.45396299999999,41.68002099999999
